Product Name,New Prices,Category,Type,Image URL(s),Stock Quantity,Description,Product Buy Link,Size/Color Variants,Gender,
Mavi Men Regular Fit Crew-Neck T-Shirt,1499,Clothing,Tshirts,https://assets.ajio.com/medias/sys_master/root/20240305/b78A/65e72dea05ac7d77bb989034/mavi_navy_blue_men_regular_fit_crew-neck_t-shirt.jpg,359,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/mavi-men-regular-fit-crew-neck-t-shirt/p/469608438_navyblue,navyblue,Men,
Z-One Washed Slim Fit Jeans with Appliques,2799,Clothing,Jeans & Jeggings,https://assets.ajio.com/medias/sys_master/root/20221010/YhcY/63443fb0aeb269659c3545a7/z-one_black_washed_slim_fit_jeans_with_appliques.jpg,391,Stylish jeans with a comfortable fit and durable fabric — a wardrobe essential.,https://www.ajio.com/z-one-washed-slim-fit-jeans-with-appliques/p/469058298_denimglmel,denimglmel,Women,
Na-kd Scoop-Neck Top & Skirt Set,2599,Clothing,Night&LoungeWearSets,https://assets.ajio.com/medias/sys_master/root/20221125/xGRP/6380eacaaeb269659cb63640/na-kd_green_scoop-neck_top_%26_skirt_set.jpg,226,Premium quality Night&LoungeWearSets at an unbeatable discounted price — grab it before stock runs out.,https://www.ajio.com/na-kd-scoop-neck-top--skirt-set/p/469215450_green,green,Women,
Barrels And Oil Graphic Print Crew-Neck Sweatshirt,1499,Clothing,Sweatshirt & Hoodies,https://assets.ajio.com/medias/sys_master/root/20221226/u7H9/63a9433eaeb269659c0b058c/barrels_and_oil_white_graphic_print_crew-neck_sweatshirt.jpg,310,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/barrels-and-oil-graphic-print-crew-neck-sweatshirt/p/469047946_ecru,ecru,Women,
I Saw It First High-Neck Flared Playsuit,1799,Clothing,Jumpsuits &Playsuits,https://assets.ajio.com/medias/sys_master/root/20220912/7R2G/631f4825aeb269dbb3838aef/i_saw_it_first_blue_high-neck_flared_playsuit.jpg,378,Premium quality Jumpsuits &Playsuits at an unbeatable discounted price — grab it before stock runs out.,https://www.ajio.com/i-saw-it-first-high-neck-flared-playsuit/p/469179905_skyblue,skyblue,Women,
SOULSTAR Colourblock Crew-Neck Sweatshirt with Patch Pocket,1599,Clothing,Sweatshirt & Hoodies,https://assets.ajio.com/medias/sys_master/root/20221010/c18Y/6344319ff997ddfdbd17edbf/soulstar_black_colourblock_crew-neck_sweatshirt_with_patch_pocket.jpg,285,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/soulstar-colourblock-crew-neck-sweatshirt-with-patch-pocket/p/469018025_black,black,Women,
Koton Shirt with Concealed Placket,1999,Clothing,Shirts,https://assets.ajio.com/medias/sys_master/root/20230517/61h5/6464d1d2d55b7d0c63bd6862/koton_off-white_shirt_with_concealed_placket.jpg,369,Classic regular-fit shirt with clean collar — versatile for both office and casual outings.,https://www.ajio.com/koton-shirt-with-concealed-placket/p/469388709_offwhite,offwhite,Women,
TRENDYOL Colourblock Hoodie with Kangaroo Pocket,2599,Clothing,Sweatshirt & Hoodies,https://assets.ajio.com/medias/sys_master/root/20210903/tFDf/613144887cdb8cb82414beca/trendyol_red_colourblock_hoodie_with_kangaroo_pocket.jpg,181,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/trendyol-colourblock-hoodie-with-kangaroo-pocket/p/460996162_red,red,Women,
Mavi Men Graphic Print Regular Fit Round-Neck T-Shirt,1399,Clothing,Tshirts,https://assets.ajio.com/medias/sys_master/root/20240304/4Lhv/65e5e37605ac7d77bb952c89/mavi_white_men_graphic_print_regular_fit_round-neck_t-shirt.jpg,306,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/mavi-men-graphic-print-regular-fit-round-neck-t-shirt/p/469608478_white,white,Men,
Grimelange Slim Fit Knot-Front Bodycon Dress,1399,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20230517/pRuc/6464d79e42f9e729d791592e/grimelange_yellow_slim_fit_knot-front_bodycon_dress.jpg,159,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/grimelange-slim-fit-knot-front-bodycon-dress/p/469209274_yellow,yellow,Women,
Oxxo Straight Fit Flat-Front Trousers,1999,Clothing,Trousers & Pants,https://assets.ajio.com/medias/sys_master/root/20230518/j3hu/64665caad55b7d0c63c4abc8/oxxo_tulipa_straight_fit_flat-front_trousers.jpg,258,Well-tailored trousers with a clean finish — ideal for formal and semi-formal occasions.,https://www.ajio.com/oxxo-straight-fit-flat-front-trousers/p/469290966_lightbrown,lightbrown,Women,
Mavi Men Graphic Print Regular Fit Round-Neck T-Shirt,1399,Clothing,Tshirts,https://assets.ajio.com/medias/sys_master/root/20240304/DRzJ/65e5dd4d16fd2c6e6a397f3c/mavi_black_men_graphic_print_regular_fit_round-neck_t-shirt.jpg,281,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/mavi-men-graphic-print-regular-fit-round-neck-t-shirt/p/469608477_black,black,Men,
Zabaione Crochet V-neck Pullover,2599,Clothing,Sweaters & Cardigans,https://assets.ajio.com/medias/sys_master/root/20211224/ZIVI/61c4c2aaaeb26901101a2c3d/zabaione_grey_crochet_v-neck_pullover.jpg,227,Premium quality Sweaters & Cardigans at an unbeatable discounted price — grab it before stock runs out.,https://www.ajio.com/zabaione-crochet-v-neck-pullover/p/469058190_grey,grey,Women,
Koton Ribbed Slim Fit Crop Top,1199,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20230517/EDNm/6464d75042f9e729d7914cb5/koton_brown_ribbed_slim_fit_crop_top.jpg,192,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/koton-ribbed-slim-fit-crop-top/p/469388587_brown,brown,Women,
Oxxo Slim Fit Round-Neck Sleeveless Tank Top,1499,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20230519/OTrJ/6466893cd55b7d0c63c5fbe9/oxxo_purple_slim_fit_round-neck_sleeveless_tank_top.jpg,310,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/oxxo-slim-fit-round-neck-sleeveless-tank-top/p/469150982_ltyellow,ltyellow,Women,
Colin's Hoodie with Kangaroo Pocket,2299,Clothing,Sweatshirt & Hoodies,https://assets.ajio.com/medias/sys_master/root/20230516/id47/646395e8d55b7d0c63b959b2/colin%27s_black_hoodie_with_kangaroo_pocket.jpg,196,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/colin-s-hoodie-with-kangaroo-pocket/p/469348095_black,black,Women,
Barrels And Oil Placement Print Crew-Neck Sweatshirt,1499,Clothing,Sweatshirt & Hoodies,https://assets.ajio.com/medias/sys_master/root/20221226/HozZ/63a940b1aeb269659c0aa7a4/barrels_and_oil_grey_placement_print_crew-neck_sweatshirt.jpg,392,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/barrels-and-oil-placement-print-crew-neck-sweatshirt/p/469047804_gray,gray,Men,
Oxxo Striped Slim Fit Pants with Insert Pockets,2599,Clothing,Trousers & Pants,https://assets.ajio.com/medias/sys_master/root/20221125/inul/6380ff60aeb269659cb6fd20/oxxo_white_%26_blue_striped_slim_fit_pants_with_insert_pockets.jpg,377,Well-tailored trousers with a clean finish — ideal for formal and semi-formal occasions.,https://www.ajio.com/oxxo-striped-slim-fit-pants-with-insert-pockets/p/469291226_blue,blue,Women,
Glamorous Floral Print Crop Top,1799,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20230914/a63J/650321f6ddf7791519d89db2/glamorous_beige_floral_print_crop_top.jpg,387,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/glamorous-floral-print-crop-top/p/460971893_green,green,Women,
Y-LONDON Strappy Off-Shoulder A-Line Dress,2299,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20221115/uCbJ/6373a98ef997ddfdbd7620e6/y-london_pink_strappy_off-shoulder_a-line_dress.jpg,372,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/y-london-strappy-off-shoulder-a-line-dress/p/469371961_pink,pink,Women,
Y-LONDON A-Line Dress with Belt,2299,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20221114/fjpA/63727958f997ddfdbd738015/y-london_blue_a-line_dress_with_belt.jpg,250,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/y-london-a-line-dress-with-belt/p/469371979_blue,blue,Women,
Y-LONDON Jumpsuit with Button Accents,2799,Clothing,Jumpsuits &Playsuits,https://assets.ajio.com/medias/sys_master/root/20221115/yc1Z/6373d074f997ddfdbd7700a3/y-london_ecru_white_jumpsuit_with_button_accents.jpg,355,Premium quality Jumpsuits &Playsuits at an unbeatable discounted price — grab it before stock runs out.,https://www.ajio.com/y-london-jumpsuit-with-button-accents/p/469372043_ecru,ecru,Women,
Mavi Women Typographic Print Fitted Crew-Neck T-Shirt,999,Clothing,Tshirts,https://assets.ajio.com/medias/sys_master/root/20240305/2kTZ/65e7312405ac7d77bb98a1fa/mavi_white_women_typographic_print_fitted_crew-neck_t-shirt.jpg,309,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/mavi-women-typographic-print-fitted-crew-neck-t-shirt/p/469608527_white,white,Men,
Hailys Schiffli Off-Shoulder Top,1299,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20211208/TgVC/61aff427aeb269011002ba2f/hailys_white_schiffli_off-shoulder_top.jpg,364,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/hailys-schiffli-off-shoulder-top/p/469054366_white,white,Women,
Oxxo Ribbed Strappy Top with Cutout,1399,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20221125/uACk/6380e635aeb269659cb60dd3/oxxo_white_ribbed_strappy_top_with_cutout.jpg,188,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/oxxo-ribbed-strappy-top-with-cutout/p/469291505_white,white,Women,
Oxxo Mid-Rise Skinny Fit Jeans,1999,Clothing,Jeans & Jeggings,https://assets.ajio.com/medias/sys_master/root/20221125/NyIT/6380e279f997ddfdbd9e29ec/oxxo_black_mid-rise_skinny_fit_jeans.jpg,209,Stylish jeans with a comfortable fit and durable fabric — a wardrobe essential.,https://www.ajio.com/oxxo-mid-rise-skinny-fit-jeans/p/469291035_black,black,Women,
Koton Ruched Fitted Crop Top,1199,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20240318/1kpH/65f8693f05ac7d77bbc2191a/koton_mustard_ruched_fitted_crop_top.jpg,267,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/koton-ruched-fitted-crop-top/p/469388637_mustard,mustard,Women,
